STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,3,SNOW WC,20000628 0000,20000628 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000629 0000,20000629 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000630 0000,20000630 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000701 0000,20000701 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000702 0000,20000702 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000703 0000,20000703 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000704 0000,20000704 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000705 0000,20000705 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000706 0000,20000706 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000707 0000,20000707 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000708 0000,20000708 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000709 0000,20000709 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000710 0000,20000710 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000711 0000,20000711 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000712 0000,20000712 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000713 0000,20000713 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000714 0000,20000713 2300,0.65, ,INCHES
DAN,D,3,SNOW WC,20000715 0000,20000715 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000716 0000,20000716 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000717 0000,20000717 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000718 0000,20000718 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000719 0000,20000719 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000720 0000,20000720 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000721 0000,20000721 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000722 0000,20000722 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000723 0000,20000723 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000724 0000,20000724 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000725 0000,20000725 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000726 0000,20000726 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000727 0000,20000727 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000728 0000,20000728 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000729 0000,20000729 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000730 0000,20000730 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000731 0000,20000731 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000801 0000,20000801 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000802 0000,20000802 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000803 0000,20000803 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000804 0000,20000804 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000805 0000,20000805 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000806 0000,20000806 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000807 0000,20000807 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000808 0000,20000808 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000809 0000,20000809 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000810 0000,20000810 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000811 0000,20000811 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000812 0000,20000812 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000813 0000,20000813 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000814 0000,20000814 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000815 0000,20000815 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000816 0000,20000816 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000817 0000,20000817 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000818 0000,20000818 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000819 0000,20000819 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000820 0000,20000820 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000821 0000,20000821 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000822 0000,20000822 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000823 0000,20000823 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000824 0000,20000824 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000825 0000,20000825 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000826 0000,20000826 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000827 0000,20000827 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000828 0000,20000828 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000829 0000,20000829 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000830 0000,20000830 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000831 0000,20000831 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000901 0000,20000901 0700,0.65, ,INCHES
DAN,D,3,SNOW WC,20000902 0000,20000902 0700,0.65, ,INCHES
DAN,D,3,SNOW WC,20000903 0000,20000903 0500,0.65, ,INCHES
DAN,D,3,SNOW WC,20000904 0000,20000904 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000905 0000,20000905 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000906 0000,20000906 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000907 0000,20000907 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000908 0000,20000908 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000909 0000,20000909 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000910 0000,20000910 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000911 0000,20000911 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000912 0000,20000912 0000,---, ,INCHES
DAN,D,3,SNOW WC,20000913 0000,20000913 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000914 0000,20000914 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000915 0000,20000915 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000916 0000,20000916 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000917 0000,20000917 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000918 0000,20000918 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000919 0000,20000919 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000920 0000,20000920 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000921 0000,20000921 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000922 0000,20000922 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000923 0000,20000923 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000924 0000,20000924 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000925 0000,20000925 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000926 0000,20000926 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000927 0000,20000927 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000928 0000,20000928 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000929 0000,20000929 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000930 0000,20000930 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001001 0000,20001001 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001002 0000,20001002 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001003 0000,20001003 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001004 0000,20001004 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001005 0000,20001005 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001006 0000,20001006 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001007 0000,20001007 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001008 0000,20001008 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001009 0000,20001009 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001010 0000,20001010 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001011 0000,20001011 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001012 0000,20001012 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001013 0000,20001013 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001014 0000,20001014 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001015 0000,20001015 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001016 0000,20001016 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001017 0000,20001017 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001018 0000,20001018 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001019 0000,20001019 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001020 0000,20001020 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001021 0000,20001021 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001022 0000,20001022 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001023 0000,20001023 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001024 0000,20001024 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001025 0000,20001025 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001026 0000,20001026 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20001027 0000,20001027 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001028 0000,20001028 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20001029 0000,20001029 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001030 0000,20001030 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001031 0000,20001031 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001101 0000,20001101 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001102 0000,20001102 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001103 0000,20001103 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001104 0000,20001104 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001105 0000,20001105 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001106 0000,20001106 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001107 0000,20001107 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001108 0000,20001108 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001109 0000,20001109 0400,2.61, ,INCHES
DAN,D,3,SNOW WC,20001110 0000,20001110 0400,3.26, ,INCHES
DAN,D,3,SNOW WC,20001111 0000,20001111 0400,3.26, ,INCHES
DAN,D,3,SNOW WC,20001112 0000,20001112 0400,3.26, ,INCHES
DAN,D,3,SNOW WC,20001113 0000,20001113 0400,3.26, ,INCHES
DAN,D,3,SNOW WC,20001114 0000,20001114 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001115 0000,20001115 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001116 0000,20001116 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001117 0000,20001117 0400,3.26, ,INCHES
DAN,D,3,SNOW WC,20001118 0000,20001118 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001119 0000,20001119 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001120 0000,20001120 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001121 0000,20001121 0400,3.92, ,INCHES
DAN,D,3,SNOW WC,20001122 0000,20001122 0400,3.92, ,INCHES
